tecdoc_ktypnr;tecdoc_constr;tecdoc_constrcode;tecdoc_model1;tecdoc_modelcode;tecdoc_cyl;tecdoc_litr;tecdoc_ccmtech;tecdoc_moisdseb;tecdoc_anneedeb;tecdoc_moisfin;tecdoc_anneefin;tecdoc_andeb;tecdoc_anfin;tecdoc_kw;tecdoc_cv;tecdoc_carross;tecdoc_propulsion;tecdoc_energie;tecdoc_codemoteur;tecdoc_nbcyl;tecdoc_nbsoup
43;BMW;16;3;290;324 td;2.4;2426;09;1987;08;1991;09/1987;08/1991;85;115;A trois volumes;Propulsion;Diesel;M21 D24 (246TB);6;2
44;BMW;16;3 Touring;294;318 i;1.8;1796;04;1989;06;1994;04/1989;06/1994;83;113;Break;Propulsion;Essence;M40 B18 (184E1);4;2
45;BMW;16;3 Touring;294;320 i;2;1976;01;1988;12;1991;01/1988;12/1991;95;129;Break;Propulsion;Essence;M20 B20 (206KA);6;2
46;BMW;16;3 Touring;294;325 i;2.5;2476;07;1987;03;1993;07/1987;03/1993;125;170;Break;Propulsion;Essence;M20 B25 (256K1);6;2
47;BMW;16;3 Touring;294;325 i X;2.5;2494;06;1988;10;1993;06/1988;10/1993;125;170;Break;Traction int?grale;Essence;M20 B25 (256K1);6;2
48;BMW;16;3 Touring;294;324 td;2.4;2426;01;1988;06;1993;01/1988;06/1993;85;115;Break;Propulsion;Diesel;M21 D24 (246TB);6;2
49;BMW;16;3;304;316 i;1.6;1596;09;1990;09;1993;09/1990;09/1993;73;100;A trois volumes;Propulsion;Essence;M40 B16 (164E1);4;2
50;BMW;16;3;304;316 i;1.6;1596;07;1993;02;1998;07/1993;02/1998;75;102;A trois volumes;Propulsion;Essence;M43 B16 (164E2);4;2
51;BMW;16;3;304;318 i;1.8;1796;12;1990;10;1993;12/1990;10/1993;83;113;A trois volumes;Propulsion;Essence;M40 B18 (184E1);4;2
52;BMW;16;3;304;318 is;1.8;1796;03;1993;02;1998;03/1993;02/1998;103;140;A trois volumes;Propulsion;Essence;M42 B18 (184S1);4;4
53;BMW;16;3 Coup?;308;318 is;1.8;1796;03;1992;10;1995;03/1992;10/1995;103;140;Coup?;Propulsion;Essence;M42 B18 (184S1);4;4
54;BMW;16;3;304;320 i;2;1991;09;1990;02;1998;09/1990;02/1998;110;150;A trois volumes;Propulsion;Essence;M50 B20 (206S1),M50 B20 (206S2),M52 B20 (206S3);6;4
55;BMW;16;3 Coup?;308;320 i;2;1991;03;1992;04;1999;03/1992;04/1999;110;150;Coup?;Propulsion;Essence;M50 B20 (206S1),M50 B20 (206S2),M52 B20 (206S3);6;4
56;SUZUKI;109;SWIFT IV;8994;1.2 4x4;1.2;1242;10;2010;-;-;10/2010;-;69;94;3/5 portes;Traction int?grale;Essence;K12B;4;4
57;SUZUKI;109;SWIFT IV;8994;1.3 DDiS;1.3;1248;10;2010;-;-;10/2010;-;55;75;3/5 portes;Traction avant;Diesel;D13A;4;4
58;RENAULT;93;MEGANE CC;8578;2.0 CVT;2;1997;06;2010;-;-;06/2010;-;103;140;D?capotable;Traction avant;Essence;M4R 713,M4R 711;4;4
59;BMW;16;3;304;325 i;2.5;2494;09;1990;09;1995;09/1990;09/1995;141;192;A trois volumes;Propulsion;Essence;M50 B25 (256S1),M50 B25 (256S2);6;4
60;FORD;36;C-MAX II;8995;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;92;125;Monospace;Traction avant;Essence;PNDA;4;4
61;BMW;16;3 Coup?;308;325 i;2.5;2494;03;1992;04;1999;03/1992;04/1999;141;192;Coup?;Propulsion;Essence;M50 B25 (256S1),M50 B25 (256S2);6;4
62;BMW;16;3;304;325 td;2.5;2497;09;1991;02;1998;09/1991;02/1998;85;115;A trois volumes;Propulsion;Diesel;M51 D25 (256T1);6;2
63;BMW;16;3;304;325 tds;2.5;2497;05;1993;02;1998;05/1993;02/1998;105;143;A trois volumes;Propulsion;Diesel;M51 D25 (256T1);6;2
64;BMW;16;5;456;518;1.8;1754;07;1974;05;1981;07/1974;05/1981;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VB);4;2
65;ALFA ROMEO;2;GTV;3389;2.0;2;1948;01;1985;12;1985;01/1985;12/1985;94;128;Coup?;Propulsion;Essence;AR 06212;4;2
66;FORD;36;C-MAX II;8995;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;77;105;Monospace;Traction avant;Essence;IQDA,IQDB;4;4
67;ALFA ROMEO;2;GTV;3389;6 2.5;2.5;2464;11;1980;02;1987;11/1980;02/1987;116;158;Coup?;Propulsion;Essence;AR 01646;6;2
68;FORD;36;C-MAX II;8995;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;110;150;Monospace;Traction avant;Essence;JQDA,JQDB;4;4
69;FORD;36;C-MAX II;8995;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;134;182;Monospace;Traction avant;Essence;JTDA,JTDB;4;4
70;FORD;36;C-MAX II;8995;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;70;95;Monospace;Traction avant;Diesel;T3DA,T3DB;4;2
71;FORD;36;C-MAX II;8995;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;85;115;Monospace;Traction avant;Diesel;T1DA,T1DB;4;2
72;FORD;36;GRAND C-MAX;8996;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;77;105;Monospace;Traction avant;Essence;IQDA,IQDB;4;4
73;FORD;36;GRAND C-MAX;8996;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;92;125;Monospace;Traction avant;Essence;PNDA;4;4
74;FORD;36;GRAND C-MAX;8996;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;110;150;Monospace;Traction avant;Essence;JQDA,JQDB;4;4
75;FORD;36;GRAND C-MAX;8996;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;134;182;Monospace;Traction avant;Essence;JTDA,JTDB;4;4
76;FORD;36;GRAND C-MAX;8996;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;70;95;Monospace;Traction avant;Diesel;T3DA,T3DB;4;2
77;FORD;36;GRAND C-MAX;8996;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;85;115;Monospace;Traction avant;Diesel;T1DA,T1DB;4;2
78;MINELLI;1522;TF;8997;1800;1.8;1796;01;1998;-;-;01/1998;-;86;117;D?capotable;Propulsion;Essence;18 K4F;4;4
79;SAAB;99;9-5;8645;2.0 TTiD XWD;2;1956;05;2010;01;2012;05/2010;01/2012;140;190;A trois volumes;Traction int?grale;Diesel;A 20 DTR;4;4
80;STANGUELLINI;2810;750;8999;CORSA;0.7;741;01;1955;12;1955;01/1955;12/1955;59;80;D?capotable;Propulsion;Essence;CO;4;2
81;ALFA ROMEO;2;ALFASUD Sprint;329;1.3;1.3;1277;09;1976;12;1981;09/1976;12/1981;55;76;Coup?;Traction avant;Essence;AR 30184;4;2
82;ALFA ROMEO;2;ALFASUD Sprint;329;1.4;1.4;1337;05;1978;02;1980;05/1978;02/1980;55;76;Coup?;Traction avant;Essence;AR 30164;4;2
83;ALFA ROMEO;2;ALFASUD Sprint;329;1.4;1.4;1337;07;1979;12;1989;07/1979;12/1989;63;85;Coup?;Traction avant;Essence;AR 30168;4;2
84;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;05;1978;12;1981;05/1978;12/1981;61;83;Coup?;Traction avant;Essence;AR 30124;4;2
85;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;07;1979;01;1987;07/1979;01/1987;70;95;Coup?;Traction avant;Essence;AR 30128;4;2
86;ALFA ROMEO;2;ALFASUD Sprint;329;1.7 i.e.;1.7;1712;10;1987;12;1989;10/1987;12/1989;77;105;Coup?;Traction avant;Essence;AR 30558;4;2
87;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;01;1983;12;1988;01/1983;12/1988;77;105;Coup?;Traction avant;Essence;AR 30146;4;2
88;ALFA ROMEO;2;33;291;1.2;1.2;1178;06;1983;12;1989;06/1983;12/1989;50;68;3/5 portes;Traction avant;Essence;AR 30585;4;2
89;ALFA ROMEO;2;33;291;1.3;1.3;1337;06;1983;12;1989;06/1983;12/1989;55;75;3/5 portes;Traction avant;Essence;AR 30586,AR 30502;4;2
90;ALFA ROMEO;2;33;291;1.3;1.3;1337;10;1984;12;1989;10/1984;12/1989;63;86;3/5 portes;Traction avant;Essence;AR 30587,AR 30168;4;2
91;ALFA ROMEO;2;33;291;1.5;1.5;1474;05;1983;12;1987;05/1983;12/1987;62;84;3/5 portes;Traction avant;Essence;AR 30143,AR 30504;4;2
92;STANGUELLINI;2810;FORMULA;9000;JUNIOR;1.1;1089;01;1958;12;1968;01/1958;12/1968;58;79;D?capotable;Propulsion;Essence;101A000;4;2
93;ALFA ROMEO;2;33;291;1.5;1.5;1474;07;1986;12;1989;07/1986;12/1989;75;102;3/5 portes;Traction avant;Essence;AR 30588;4;2
94;ALFA ROMEO;2;33;291;1.5 QV;1.5;1474;06;1984;12;1989;06/1984;12/1989;77;105;3/5 portes;Traction avant;Essence;AR 30146,AR 30588,AR 30508;4;2
95;ALFA ROMEO;2;33;291;1.7 i.e.;1.7;1700;09;1988;12;1989;09/1988;12/1989;77;105;3/5 portes;Traction avant;Essence;AR 30558;4;2
96;ALFA ROMEO;2;33;291;1.7 QV;1.7;1700;03;1988;12;1989;03/1988;12/1989;84;114;3/5 portes;Traction avant;Essence;AR 30550;4;2
97;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;09;1984;12;1986;09/1984;12/1986;66;90;Break;Traction int?grale;Essence;AR 30520;4;2
98;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;12;1986;12;1989;12/1986;12/1989;75;102;Break;Traction int?grale;Essence;AR 30588;4;2
99;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;12;1986;03;1989;12/1986;03/1989;77;105;Break;Traction int?grale;Essence;AR 30146,AR 30588,AR 30508;4;2
100;ALFA ROMEO;2;33 Sportwagon;300;1.7 i.e. 4x4;1.7;1700;09;1988;12;1989;09/1988;12/1989;77;105;Break;Traction int?grale;Essence;AR 30558,AR 30737;4;2
101;ALFA ROMEO;2;33;295;1.4 i.e.;1.4;1351;06;1991;09;1994;06/1991;09/1994;65;88;3/5 portes;Traction avant;Essence;AR 30753,AR 30755;4;2
102;ALFA ROMEO;2;33;295;1.4 i.e.;1.4;1351;06;1991;09;1994;06/1991;09/1994;66;90;3/5 portes;Traction avant;Essence;AR 30753,AR 30755;4;2
103;ALFA ROMEO;2;33;295;1.7 i.e.;1.7;1700;01;1990;09;1994;01/1990;09/1994;79;107;3/5 portes;Traction avant;Essence;AR 30736,AR 30737;4;2
104;STANGUELLINI;2810;FORMULA;9000;JUNIOR DELFINO;1.1;1089;01;1961;12;1962;01/1961;12/1962;66;90;D?capotable;Propulsion;Essence;101A000;4;2
105;ALFA ROMEO;2;33;295;1.7 i.e.;1.7;1712;04;1992;09;1994;04/1992;09/1994;77;105;3/5 portes;Traction avant;Essence;AR 30737 A;4;2
106;STANGUELLINI;2810;COLIBRI;9001;0.2;0.2;248;01;1963;12;1963;01/1963;12/1963;21;29;Coup?;Propulsion;Essence;MOGU;1;2
107;ALFA ROMEO;2;33;295;1.7 16V;1.7;1712;01;1990;09;1994;01/1990;09/1994;95;129;3/5 portes;Traction avant;Essence;AR 30747;4;4
108;ALFA ROMEO;2;33;295;1.7 16V;1.7;1712;01;1990;03;1992;01/1990;03/1992;97;132;3/5 portes;Traction avant;Essence;AR 30747;4;4
109;ALFA ROMEO;2;33 Sportwagon;305;1.4 i.e.;1.4;1351;06;1991;09;1994;06/1991;09/1994;65;88;Break;Traction avant;Essence;AR 30753,AR 30755;4;2
110;ALFA ROMEO;2;33 Sportwagon;305;1.4 i.e.;1.4;1351;06;1991;09;1994;06/1991;09/1994;66;90;Break;Traction avant;Essence;AR 30755;4;2
111;ALFA ROMEO;2;33 Sportwagon;305;1.7 i.e.;1.7;1700;01;1990;03;1992;01/1990;03/1992;79;107;Break;Traction avant;Essence;AR 30736,AR 30737;4;2
112;ALFA ROMEO;2;33 Sportwagon;305;1.7 16V;1.7;1700;01;1990;09;1994;01/1990;09/1994;97;132;Break;Traction avant;Essence;AR 30747;4;4
113;ALFA ROMEO;2;33 Sportwagon;305;1.7 i.e.;1.7;1712;04;1992;09;1994;04/1992;09/1994;77;105;Break;Traction avant;Essence;AR 30737;4;2
114;STANGUELLINI;2810;FORMULA;9000;2;1;988;01;1964;12;1965;01/1964;12/1965;71;97;D?capotable;Propulsion;Essence;A10;4;2
115;ALFA ROMEO;2;33 Sportwagon;305;1.7 16V;1.7;1712;01;1990;09;1994;01/1990;09/1994;95;129;Break;Traction avant;Essence;AR 30747;4;4
116;ALFA ROMEO;2;33 Sportwagon;305;1.7 16V 4x4;1.7;1712;01;1990;03;1992;01/1990;03/1992;97;132;Break;Traction int?grale;Essence;AR 30747;4;4
117;ALFA ROMEO;2;75;312;1.6 Cat;1.6;1556;05;1989;02;1992;05/1989;02/1992;81;110;A trois volumes;Propulsion;Essence;AR 61101;4;2
118;ALFA ROMEO;2;75;312;1.6;1.6;1567;05;1985;09;1989;05/1985;09/1989;81;110;A trois volumes;Propulsion;Essence;AR 06100;4;2
119;ALFA ROMEO;2;75;312;1.8 Turbo i.e.;1.8;1745;02;1986;01;1990;02/1986;01/1990;114;155;A trois volumes;Propulsion;Essence;AR 06134,AR 06158;4;2
120;ALFA ROMEO;2;75;312;1.8;1.8;1767;09;1985;06;1989;09/1985;06/1989;85;116;A trois volumes;Propulsion;Essence;AR 06202;4;2
121;STANGUELLINI;2810;FORMULA;9000;3;1;988;01;1964;12;1965;01/1964;12/1965;71;97;D?capotable;Propulsion;Essence;A10;4;2
122;ALFA ROMEO;2;75;312;1.8;1.8;1779;09;1988;02;1992;09/1988;02/1992;88;120;A trois volumes;Propulsion;Essence;AR 61102,AR 06168;4;2
123;ALFA ROMEO;2;75;312;1.8;1.8;1779;08;1989;02;1992;08/1989;02/1992;90;122;A trois volumes;Propulsion;Essence;AR 61201;4;2
124;ALFA ROMEO;2;75;312;1.8 Turbo;1.8;1779;09;1986;02;1992;09/1986;02/1992;110;150;A trois volumes;Propulsion;Essence;AR 06134;4;2
125;ALFA ROMEO;2;75;312;2.0;2;1948;05;1985;10;1988;05/1985;10/1988;94;128;A trois volumes;Propulsion;Essence;AR 06212;4;2
127;ALFA ROMEO;2;75;312;2.0 T.S.;2;1962;01;1987;02;1992;01/1987;02/1992;107;146;A trois volumes;Propulsion;Essence;AR 06166,AR 06224;4;2
128;ALFA ROMEO;2;75;312;2.0 T.S Cat;2;1962;05;1985;02;1992;05/1985;02/1992;109;148;A trois volumes;Propulsion;Essence;AR 06224;4;2
129;ALFA ROMEO;2;75;312;2.0 TD;2;1981;05;1985;09;1992;05/1985;09/1992;70;95;A trois volumes;Propulsion;Diesel;VM 80 A;4;2
130;STANGUELLINI;2810;MOMO MIRAGE;9002;5.7;5.7;5736;01;1971;12;1971;01/1971;12/1971;147;200;Coup?;Propulsion;Essence;H350;8;2
131;ALFA ROMEO;2;75;312;2.5 V6;2.5;2464;05;1985;08;1986;05/1985;08/1986;110;150;A trois volumes;Propulsion;Essence;AR 01646,AR 01648,AR 01911;6;2
133;ALFA ROMEO;2;75;312;3.0 V6 Cat;3;2959;01;1987;02;1992;01/1987;02/1992;136;185;A trois volumes;Propulsion;Essence;AR 06124;6;2
134;ALFA ROMEO;2;75;312;3.0 V6;3;2959;02;1990;02;1992;02/1990;02/1992;141;192;A trois volumes;Propulsion;Essence;AR 61503;6;2
135;ALFA ROMEO;2;90;316;1.8;1.8;1767;10;1984;07;1987;10/1984;07/1987;85;116;A trois volumes;Propulsion;Essence;AR 06202;4;2
136;ALFA ROMEO;2;90;316;2.0 i.e.;2;1948;10;1984;07;1987;10/1984;07/1987;94;128;A trois volumes;Propulsion;Essence;AR 01713,AR 06212;4;2
137;ALFA ROMEO;2;90;316;2.4 TD;2.4;2376;10;1984;07;1987;10/1984;07/1987;81;110;A trois volumes;Propulsion;Diesel;VM 81 A;4;2
138;ALFA ROMEO;2;90;316;2.5 i.e. V6;2.5;2464;10;1984;07;1987;10/1984;07/1987;110;150;A trois volumes;Propulsion;Essence;AR 01646,AR 01911;6;2
139;ALFA ROMEO;2;155;282;1.7 T.S.;1.7;1748;04;1993;04;1996;04/1993;04/1996;85;115;A trois volumes;Traction avant;Essence;AR 67105;4;2
140;ALFA ROMEO;2;155;282;1.8 T.S.;1.8;1756;02;1992;12;1997;02/1992;12/1997;77;105;A trois volumes;Traction avant;Essence;AR 67402;4;2
141;ALFA ROMEO;2;155;282;1.8 T.S. Sport;1.8;1773;01;1992;12;1996;01/1992;12/1996;93;127;A trois volumes;Traction avant;Essence;AR 67101,AR 67102;4;2
142;ALFA ROMEO;2;155;282;1.8 T.S.;1.8;1773;02;1992;06;1993;02/1992;06/1993;95;129;A trois volumes;Traction avant;Essence;AR 67101;4;2
143;ALFA ROMEO;2;155;282;1.9 TD;1.9;1929;04;1993;12;1997;04/1993;12/1997;66;90;A trois volumes;Traction avant;Diesel;AR 67501;4;2
144;ALFA ROMEO;2;155;282;2.0 T.S.;2;1995;02;1992;02;1995;02/1992;02/1995;104;141;A trois volumes;Traction avant;Essence;AR 67201,AR 67202;4;2
145;ALFA ROMEO;2;155;282;2.0 T.S.;2;1995;02;1992;04;1993;02/1992;04/1993;106;144;A trois volumes;Traction avant;Essence;AR 67201,AR 67202;4;2
146;ALFA ROMEO;2;155;282;2.0 16V Turbo Q4;2;1995;01;1992;12;1997;01/1992;12/1997;137;186;A trois volumes;Traction int?grale;Essence;AR 67203;4;4
147;ALFA ROMEO;2;155;282;2.0 16V Turbo Q4;2;1995;01;1992;12;1997;01/1992;12/1997;140;190;A trois volumes;Traction int?grale;Essence;AR 67203;4;4
148;ALFA ROMEO;2;155;282;2.5 V6;2.5;2492;10;1992;12;1997;10/1992;12/1997;120;163;A trois volumes;Traction avant;Essence;AR 67303,AR 67302;6;2
149;ALFA ROMEO;2;155;282;2.5 V6;2.5;2492;02;1992;09;1996;02/1992;09/1996;121;165;A trois volumes;Traction avant;Essence;AR 67301;6;2
150;ALFA ROMEO;2;155;282;2.5 TD;2.5;2499;04;1993;12;1997;04/1993;12/1997;92;125;A trois volumes;Traction avant;Diesel;VM 07 B,VM 31 B;4;2
151;ALFA ROMEO;2;164;287;2.0 T.S.;2;1962;06;1987;09;1992;06/1987;09/1992;105;143;A trois volumes;Traction avant;Essence;AR 06416;4;2
152;ALFA ROMEO;2;164;287;2.0 T.S.;2;1962;06;1987;04;1998;06/1987;04/1998;109;148;A trois volumes;Traction avant;Essence;AR 64103,AR 06420;4;2
153;ALFA ROMEO;2;164;287;2.0 T.S.;2;1995;09;1992;09;1998;09/1992;09/1998;106;144;A trois volumes;Traction avant;Essence;AR 64103;4;2
154;ALFA ROMEO;2;164;287;2.0 V6 Turbo;2;1996;09;1992;09;1998;09/1992;09/1998;148;201;A trois volumes;Traction avant;Essence;AR 64102;6;2
155;ALFA ROMEO;2;164;287;2.0 V6 Turbo;2;1996;03;1991;09;1992;03/1991;09/1992;150;204;A trois volumes;Traction avant;Essence;AR 64101;6;2
156;ALFA ROMEO;2;164;287;2.5 V6;2.5;2492;09;1992;09;1998;09/1992;09/1998;120;163;A trois volumes;Traction avant;Essence;AR 66201;6;2
157;ALFA ROMEO;2;164;287;2.5 TD;2.5;2499;09;1992;09;1998;09/1992;09/1998;92;125;A trois volumes;Traction avant;Diesel;VM 08 B,VM 32 B;4;2
158;ALFA ROMEO;2;164;287;2.5 TD;2.5;2499;06;1987;09;1992;06/1987;09/1992;84;114;A trois volumes;Traction avant;Diesel;VM 84 A;4;2
159;ALFA ROMEO;2;164;287;3.0 V6;3;2934;06;1987;09;1992;06/1987;09/1992;141;192;A trois volumes;Traction avant;Essence;AR 06410;6;2
160;ALFA ROMEO;2;164;287;3.0 V6;3;2959;09;1992;09;1998;09/1992;09/1998;132;180;A trois volumes;Traction avant;Essence;AR 64399,AR 64303,AR 66303,AR 64305;6;2
161;ALFA ROMEO;2;164;287;3.0 V6;3;2934;06;1987;09;1992;06/1987;09/1992;135;184;A trois volumes;Traction avant;Essence;AR 06412;6;2
162;ALFA ROMEO;2;164;287;3.0 i.e. QV;3;2959;09;1990;09;1992;09/1990;09/1992;147;200;A trois volumes;Traction avant;Essence;AR 06430,AR 64301;6;2
